=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.02.12 11:49:01 =~=~=~=~=~=~=~=~=~=~=~=
Degrees     PING Distance (cm)
45         28.204550
47         33.355907
49         30.218008
51         29.814886
53         28.551771
55         28.492647
57         28.542097
59         29.872936
61         30.892029
63         29.939587
65         31.715471
67         42.451412
69         30.051384
71         31.492949
73         83.673035
75         49.753826
77         29.921310
79         44.138073
81         48.550911
83         39.577957
85         49.448528
87         43.380203
89         184.806076
91         172.703827
93         47.029800
95         28.385149
97         28.295923
99         28.590471
101         143.234009
103         45.419460
105         55.700680
107         28.391598
109         35.815491
111         28.584023
113         28.442123
115         28.192724
117         28.534573
119         28.244324
121         31.246775
123         28.389448
125         28.524897
127         28.392673
129         43.726349
131         28.203474
133         28.489422
135         55.385708
